CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
0,0,0,0,0,0,0,0,13,0,0,13,2,0,0,1,14,1,0.662651,110,110,14,0,0.662651,110,1,1,0,0,1,56,151,0,0,0,0,13,0,13,0,13,2,0,13,0,56,151,0,0,0,0,13,0,13,0,13,2,0,13,0,false
0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,5,1,0.558824,38,38,6,0,0.558824,38,0,0,0,0,0,30,63,4,4,4,4,5,0,5,0,5,8,0,5,0,30,63,4,4,4,4,5,0,5,0,5,8,0,5,0,false
0,0,0,0,0,0,0,0,0,0,0,13,0,2,11,0,13,1,0.866029,181,181,14,0,0.866029,181,0,0,1,1,0,28,217,0,0,0,0,13,0,13,0,13,0,0,13,0,28,217,0,0,0,0,13,0,13,0,13,0,0,13,0,false
0.02011,2,30,4,0.013838,0.025381,60,60,1,9,5,558,1,0,0,13,130,1,0.384276,1481,1226,28,0,0.384276,1481,0,0,0,0,0,2373,4336,92,19,92,19,117,25,27,8,117,1300,25,27,8,2373,4336,92,19,92,19,117,25,27,8,117,1300,25,27,8,false
0,0,0,0,0,0,0,0,1,6,5,60,13,4,5,26,43,1,0.24714,108,90,10,0,0.239382,124,0,0,0,0,0,329,477,8,3,8,3,17,1,9,3,17,167,1,9,3,394,557,12,3,12,3,18,1,9,3,18,203,1,9,3,false
0.171642,1,2,2,0.062147,0.104712,22,20,2,2,2,29,2,25,42,1,18,1,0.479675,177,171,15,0,0.479675,177,1,1,24,25,1,192,354,4,2,4,2,17,0,14,0,17,116,0,14,0,192,354,4,2,4,2,17,0,14,0,17,116,0,14,0,false
0,0,0,0,0,0,0,0,0,0,0,2,3,13,8,2,4,1,0.704545,31,30,3,0,0.704545,31,1,1,2,2,1,13,32,4,6,0,2,2,0,2,0,9,2,0,9,0,13,32,4,6,0,2,2,0,2,0,9,2,0,9,0,false
0.061125,2,4,2,0.076433,0.10084,12,12,2,4,2,24,4,1,1,4,14,1,0.198675,30,27,7,0,0.198675,30,0,0,0,0,0,121,157,9,0,9,0,10,0,6,0,10,48,0,6,0,121,157,9,0,9,0,10,0,6,0,10,48,0,6,0,false
0.276364,1,4,1,0.098958,0.165049,19,17,3,3,2,22,8,9,13,9,24,1,0.655629,198,195,13,0,0.655629,198,2,2,0,0,1,104,192,7,13,2,7,15,0,12,1,30,35,0,26,1,104,192,7,13,2,7,15,0,12,1,30,35,0,26,1,false
0,0,0,0,0,0,0,0,2,2,2,14,4,1,2,10,14,1,0.324324,24,12,4,0,0.324324,24,0,0,0,0,0,50,75,1,0,1,0,4,0,3,1,4,26,0,3,1,50,75,1,0,1,0,4,0,3,1,4,26,0,3,1,false
0.073171,1,4,2,0.045028,0.081784,24,22,2,3,3,38,17,15,24,35,54,1,0.523077,238,236,18,0,0.470019,243,0,0,0,0,0,217,471,2,1,2,1,19,0,17,0,19,77,0,17,0,274,533,6,2,2,1,24,0,17,0,36,106,0,24,0,false
0.130178,1,3,1,0.149068,0.141593,24,16,1,2,2,13,10,1,1,12,19,1,0.322835,41,33,8,0,0.275,44,2,2,0,0,1,86,128,7,6,5,1,7,0,7,0,24,30,0,22,1,116,161,10,7,8,2,10,0,10,0,27,41,0,25,1,false
0,0,0,0,0,0,0,0,1,3,3,33,12,4,18,15,30,1,0.381818,105,97,8,0,0.381818,105,0,0,2,2,0,170,279,4,1,4,1,15,0,7,0,15,71,0,7,0,170,279,4,1,4,1,15,0,7,0,15,71,0,7,0,false
0.060592,3,13,5,0.045411,0.066826,94,84,6,6,6,263,39,95,102,120,199,1,0.345405,639,556,67,0,0.338144,656,1,1,0,0,1,1211,1975,59,65,34,26,79,12,66,10,198,603,16,163,25,1284,2070,62,69,34,27,85,12,72,10,218,636,16,180,26,false
0.046392,1,3,1,0.038186,0.038462,16,12,2,3,3,36,14,5,9,18,30,1,0.168285,52,41,7,0,0.160207,62,0,0,0,0,0,257,341,3,2,3,2,12,0,6,1,12,135,0,6,1,325,419,15,3,15,3,18,6,12,1,18,162,6,12,1,false
0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,1,1,1,0.766355,82,82,1,0,0.766355,82,0,0,0,0,0,25,121,22,0,22,0,0,22,0,0,0,0,22,0,0,25,121,22,0,22,0,0,22,0,0,0,0,22,0,0,false
0,0,0,0,0,0,0,0,0,0,0,1,1,31,2,0,1,1,0.885714,31,31,2,0,0.885714,31,0,0,22,24,0,4,23,0,0,0,0,1,0,1,0,1,0,0,1,0,4,23,0,0,0,0,1,0,1,0,1,0,0,1,0,false
0,0,0,0,0,0,0,0,1,0,0,5,1,41,31,0,5,1,0.626667,47,46,4,0,0.626667,47,0,0,15,17,0,28,59,1,1,1,1,5,0,3,0,5,7,0,3,0,28,59,1,1,1,1,5,0,3,0,5,7,0,3,0,false
0,0,0,0,0,0,0,0,1,1,1,3,5,2,0,3,5,1,0.545455,18,18,2,0,0.545455,18,1,2,1,1,2,15,23,2,15,1,0,2,0,1,0,23,5,0,18,0,15,23,2,15,1,0,2,0,1,0,23,5,0,18,0,false
0,0,0,0,0,0,0,0,5,1,1,13,4,28,16,6,18,0.923077,0.651007,97,96,12,1,0.613757,116,1,1,6,6,1,52,147,2,5,0,4,12,0,12,0,18,13,0,16,1,73,183,4,5,2,4,14,0,14,0,20,19,0,18,1,false
0,0,0,0,0,0,0,0,1,6,6,19,7,41,95,8,17,1,0.53202,108,108,7,0,0.409742,143,0,0,0,0,0,95,183,1,1,1,1,9,0,6,0,9,34,0,6,0,206,322,7,1,7,1,16,0,11,0,16,81,0,11,0,false
0.084408,6,16,14,0.047945,0.069351,63,62,3,9,6,165,39,45,67,151,187,1,0.289202,308,256,31,0,0.270032,337,1,2,0,0,2,757,1135,10,7,10,7,36,0,30,3,36,420,0,30,3,911,1314,21,10,18,9,50,6,44,5,54,476,9,48,5,true
0,0,0,0,0,0,0,0,5,3,3,39,8,20,24,8,29,1,0.793243,587,584,18,0,0.76478,608,0,0,5,6,0,153,553,1,15,1,15,21,0,17,0,21,61,0,17,0,187,597,3,47,3,17,27,0,20,0,69,69,0,54,0,false
0,0,0,0,0,0,0,0,2,4,3,30,8,1,2,14,22,1,0.358423,100,57,5,0,0.326797,100,0,0,0,0,0,179,283,5,1,5,1,8,0,4,0,8,88,0,4,0,206,310,5,1,5,1,9,0,5,0,9,96,0,5,0,false
0.110212,4,24,6,0.054348,0.08599,105,89,22,4,4,171,25,145,228,43,116,1,0.455946,740,726,67,0,0.425244,785,0,0,0,0,0,883,1712,10,10,10,10,73,5,66,2,73,427,5,66,2,1061,1932,19,10,19,10,86,5,77,2,86,497,5,77,2,false
0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,0,1,1,0.714286,10,10,2,0,0.714286,10,0,0,2,2,0,4,9,0,1,0,1,1,0,1,0,1,0,0,1,0,4,9,0,1,0,1,1,0,1,0,1,0,0,1,0,false
0,0,0,0,0,0,0,0,1,3,3,67,6,8,13,13,32,1,0.233853,105,89,11,0,0.222458,105,0,0,0,0,0,344,474,8,6,8,6,19,0,10,0,19,167,0,10,0,367,500,9,6,9,6,22,0,12,0,22,174,0,12,0,false
0,0,0,0,0,0,0,0,1,0,0,7,0,20,13,0,7,1,0.582278,46,45,6,0,0.582278,46,0,0,2,8,0,33,72,2,1,2,1,7,0,5,1,7,8,0,5,1,33,72,2,1,2,1,7,0,5,1,7,8,0,5,1,false
0,0,0,0,0,0,0,0,1,2,2,15,4,11,18,4,11,1,0.493151,72,69,8,0,0.493151,72,0,0,2,4,0,74,138,4,4,4,4,7,0,7,0,7,42,0,7,0,74,138,4,4,4,4,7,0,7,0,7,42,0,7,0,false
0.120253,1,4,1,0.057751,0.097143,19,17,1,3,2,39,8,14,22,7,25,1,0.587822,251,246,15,0,0.587822,251,1,1,2,2,1,176,329,5,9,5,8,18,0,14,0,19,85,0,15,0,176,329,5,9,5,8,18,0,14,0,19,85,0,15,0,false
0.130952,1,3,1,0.148148,0.140351,24,16,1,2,2,13,7,8,4,7,14,1,0.308824,42,34,8,0,0.282209,46,1,1,0,0,1,94,136,11,2,9,1,7,0,7,0,13,32,0,11,1,117,162,15,3,9,1,10,0,7,0,28,38,0,18,1,false
0.12357,1,3,1,0.100629,0.09375,16,12,1,2,2,11,8,1,1,14,17,1,0.136364,12,12,3,0,0.10274,15,2,2,0,0,1,76,98,5,3,1,0,3,0,2,0,19,41,0,13,1,131,159,8,3,4,0,8,1,7,0,24,56,1,18,1,false
0,0,0,0,0,0,0,0,1,2,2,10,3,1,1,4,7,1,0.311688,24,20,3,0,0.311688,24,1,1,0,0,1,53,74,8,7,0,1,3,0,2,0,24,22,0,20,3,53,74,8,7,0,1,3,0,2,0,24,22,0,20,3,false
0,0,0,0,0,0,0,0,1,3,3,16,10,1,1,14,17,1,0.12,12,12,3,0,0.166667,25,1,1,0,0,1,88,113,1,0,1,0,3,0,2,0,3,49,0,2,0,125,160,4,0,4,0,7,0,6,0,7,60,0,6,0,false
0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,2,3,0.5,0.416667,5,5,1,1,0.416667,5,1,1,0,0,1,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,false
0.06359,2,9,3,0.037075,0.055749,36,32,8,6,5,61,16,11,7,38,63,1,0.394511,230,212,23,0,0.364807,340,0,0,0,0,0,353,631,7,7,7,7,25,0,22,1,25,170,0,22,1,592,971,21,19,19,12,51,0,43,1,73,257,0,62,2,false
0,0,0,0,0,0,0,0,1,1,1,9,2,9,20,1,8,1,0.549451,50,48,3,0,0.549451,50,0,0,0,0,0,41,79,4,2,4,2,7,0,2,2,7,11,0,2,2,41,79,4,2,4,2,7,0,2,2,7,11,0,2,2,false
0.088844,3,30,6,0.043137,0.076605,77,74,38,6,3,238,19,66,135,52,121,1,0.446125,708,656,66,0,0.434113,761,0,0,0,0,0,879,1653,8,20,8,20,69,3,65,0,69,443,3,65,0,992,1785,11,20,11,20,76,3,69,0,76,501,3,69,0,false
0.085253,1,6,2,0.056266,0.082305,22,20,1,4,4,55,9,21,34,6,27,0.947368,0.344086,128,118,18,1,0.344086,128,0,0,1,1,0,244,391,8,6,8,6,21,0,18,3,21,113,0,18,3,244,391,8,6,8,6,21,0,18,3,21,113,0,18,3,false
0,0,0,0,0,0,0,0,2,2,2,10,6,2,0,9,13,1,0.151515,10,10,3,0,0.151515,10,0,0,1,1,0,56,72,2,0,2,0,4,0,2,0,4,27,0,2,0,56,72,2,0,2,0,4,0,2,0,4,27,0,2,0,false
0,0,0,0,0,0,0,0,4,4,4,36,0,30,53,0,17,1,0.33642,109,97,18,0,0.33642,109,0,0,0,0,0,215,332,12,2,12,2,17,0,17,0,17,82,0,17,0,215,332,12,2,12,2,17,0,17,0,17,82,0,17,0,false
0,0,0,0,0,0,0,0,1,5,3,22,2,5,13,3,16,1,0.365269,61,59,13,0,0.365269,61,0,0,0,0,0,106,166,4,6,4,6,13,0,12,1,13,40,0,12,1,106,166,4,6,4,6,13,0,12,1,13,40,0,12,1,false
0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,4,1,0.805556,29,29,5,0,0.805556,29,0,0,1,26,0,7,27,0,2,0,2,4,0,4,0,4,0,0,4,0,7,27,0,2,0,2,4,0,4,0,4,0,0,4,0,false
0,0,0,0,0,0,0,0,2,3,3,25,11,8,16,20,26,1,0.232432,43,39,7,0,0.17931,52,0,0,0,0,0,142,206,4,0,4,0,6,0,6,2,6,87,0,6,2,238,314,10,0,10,0,13,0,11,2,13,140,0,11,2,false
0.025058,1,4,2,0.012971,0.017677,21,21,1,8,4,176,28,32,41,71,108,1,0.243659,317,284,27,0,0.227735,358,0,0,0,0,0,984,1334,18,18,18,18,37,0,26,1,37,470,0,26,1,1214,1619,40,18,40,18,49,18,29,1,49,599,18,29,1,false
0,0,0,0,0,0,0,0,1,2,2,25,0,1,13,0,15,0.666667,0.245283,39,30,2,1,0.245283,39,0,0,0,0,0,120,163,4,3,4,3,15,0,2,2,15,46,0,2,2,120,163,4,3,4,3,15,0,2,2,15,46,0,2,2,false
0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0.333333,0.5,5,5,1,2,0.5,5,0,0,1,1,0,5,6,0,0,0,0,2,0,2,0,2,0,0,2,0,5,6,0,0,0,0,2,0,2,0,2,0,0,2,0,false
0,0,0,0,0,0,0,0,2,4,4,68,10,11,16,28,50,1,0.341801,148,146,19,0,0.367776,210,0,0,0,0,0,285,459,6,3,6,3,22,0,18,5,22,135,0,18,5,361,589,8,3,8,3,31,0,27,8,31,160,0,27,8,false
0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,1,0.5,0.555556,5,5,1,1,0.555556,5,0,0,1,1,0,4,4,0,0,0,0,1,0,1,0,1,0,0,1,0,4,4,0,0,0,0,1,0,1,0,1,0,0,1,0,false
0,0,0,0,0,0,0,0,2,2,2,15,5,1,1,4,14,1,0.264957,31,28,7,0,0.264957,31,0,0,0,0,0,86,120,7,1,7,1,10,0,6,0,10,30,0,6,0,86,120,7,1,7,1,10,0,6,0,10,30,0,6,0,false
0,0,0,0,0,0,0,0,1,2,2,18,6,16,22,8,16,1,0.611872,134,132,8,0,0.51735,164,0,0,0,0,0,85,179,1,3,1,3,8,0,7,0,8,34,0,7,0,153,276,8,6,8,6,15,1,11,0,15,57,1,11,0,false
0,0,0,0,0,0,0,0,1,2,2,18,12,1,0,12,14,1,0.152542,9,4,2,0,0.152542,9,1,1,0,0,1,50,63,0,0,0,0,2,0,1,0,2,29,0,1,0,50,63,0,0,0,0,2,0,1,0,2,29,0,1,0,false
0,0,0,0,0,0,0,0,2,0,0,8,3,5,10,3,10,1,0.579545,51,50,8,0,0.512987,79,0,0,0,0,0,37,86,2,0,2,0,7,0,7,0,7,9,0,7,0,75,148,4,0,4,0,12,0,10,0,12,20,0,10,0,false
0.217936,2,24,4,0.135164,0.204861,128,118,10,7,6,164,4,17,30,10,36,1,0.348534,321,268,25,0,0.348534,321,0,0,0,0,0,600,947,8,4,8,4,26,5,24,0,26,338,5,24,0,600,947,8,4,8,4,26,5,24,0,26,338,5,24,0,false
0.009615,1,3,1,0.006928,0.010471,15,14,3,8,5,276,55,174,196,112,197,0.984615,0.340179,646,605,64,1,0.326321,667,1,2,0,0,2,1253,2026,49,25,49,25,85,20,64,11,85,673,20,64,11,1377,2165,58,26,58,26,99,28,77,12,102,714,28,80,12,true
0,0,0,0,0,0,0,0,1,4,3,35,9,4,3,15,20,1,0.105991,23,15,3,0,0.109312,27,0,0,0,0,0,194,253,4,0,4,0,5,0,2,0,5,121,0,2,0,220,280,4,0,4,0,6,0,3,0,6,131,0,3,0,false
0.288221,3,21,6,0.267101,0.32766,82,77,1,4,4,33,10,2,5,13,20,1,0.167808,49,45,3,0,0.167808,49,2,2,0,0,1,243,307,12,0,11,0,7,4,2,0,13,110,4,8,6,243,307,12,0,11,0,7,4,2,0,13,110,4,8,6,false
0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,1,0.772727,17,17,3,0,0.772727,17,0,0,1,1,0,5,18,0,0,0,0,2,0,2,0,2,0,0,2,0,5,18,0,0,0,0,2,0,2,0,2,0,0,2,0,false
0.043332,1,7,1,0.031609,0.040076,22,21,1,5,5,37,21,14,26,34,50,1,0.268551,76,51,15,0,0.174579,114,0,0,0,0,0,207,320,7,4,7,4,16,0,14,0,16,97,0,14,0,539,696,9,6,9,6,30,0,26,0,30,253,0,26,0,false
0,0,0,0,0,0,0,0,1,4,3,21,6,9,6,15,22,1,0.169697,28,25,6,0,0.183761,43,0,0,0,0,0,137,181,13,4,13,4,7,6,5,0,7,64,6,5,0,191,251,22,5,22,5,12,6,9,0,12,74,6,9,0,false
0.049192,2,10,4,0.03301,0.038541,68,56,3,7,5,187,47,44,49,98,151,1,0.225833,271,230,43,0,0.200637,378,1,3,0,0,3,929,1325,39,11,39,11,53,11,42,4,53,500,11,42,4,1506,2060,57,24,47,16,90,11,68,5,136,739,12,112,18,false
0.044554,1,7,1,0.036184,0.042857,22,21,1,6,6,83,20,10,14,47,62,1,0.095137,45,38,12,0,0.102837,58,0,0,0,0,0,428,523,8,2,8,2,15,0,11,2,15,239,0,11,2,506,608,9,3,9,3,26,0,21,2,26,262,0,21,2,false
0,0,0,0,0,0,0,0,1,4,4,43,8,6,9,11,30,1,0.286232,79,56,18,0,0.290816,114,0,0,0,0,0,197,317,4,11,4,11,19,0,17,2,19,109,0,17,2,278,432,15,11,15,11,24,0,18,2,24,140,0,18,2,false
0.021711,1,3,1,0.031308,0.038462,17,16,1,3,2,45,17,6,7,35,48,1,0.198653,59,58,10,0,0.161479,83,1,1,0,0,1,238,330,9,5,7,4,13,0,9,0,18,130,0,13,1,431,543,13,6,11,5,22,0,17,0,27,206,0,21,1,false
0,0,0,0,0,0,0,0,1,4,3,41,9,1,1,30,35,1,0.11588,27,16,3,0,0.11588,27,1,1,0,0,1,206,246,4,2,1,0,5,0,2,0,22,110,0,17,7,206,246,4,2,1,0,5,0,2,0,22,110,0,17,7,false
0,0,0,0,0,0,0,0,1,2,2,31,20,1,1,31,41,0.5,0.249012,63,33,1,1,0.249012,63,2,2,0,0,1,190,270,8,4,1,0,10,0,1,0,28,81,1,19,1,190,270,8,4,1,0,10,0,1,0,28,81,1,19,1,false
0,0,0,0,0,0,0,0,2,1,1,12,9,11,11,9,17,0.142857,0.096774,6,4,1,6,0.096774,6,2,2,0,0,1,56,70,8,5,1,1,8,1,6,0,26,15,2,24,1,56,70,8,5,1,1,8,1,6,0,26,15,2,24,1,false
0,0,0,0,0,0,0,0,0,2,2,4,5,5,5,6,8,0.5,0.514286,18,17,1,1,0.514286,18,2,2,0,0,1,17,37,7,5,0,1,2,0,1,0,20,9,1,19,1,17,37,7,5,0,1,2,0,1,0,20,9,1,19,1,false
0,0,0,0,0,0,0,0,1,3,3,13,7,2,2,8,13,0.4,0.326531,32,21,2,3,0.326531,32,2,2,0,0,1,66,106,11,4,4,0,5,4,4,0,23,34,5,22,1,66,106,11,4,4,0,5,4,4,0,23,34,5,22,1,false
0,0,0,0,0,0,0,0,2,3,3,13,8,3,3,11,15,0.333333,0.26,26,7,1,2,0.26,26,2,2,0,0,1,74,109,7,4,0,0,4,0,2,0,22,36,1,20,1,74,109,7,4,0,0,4,0,2,0,22,36,1,20,1,false
0.316514,2,20,4,0.283784,0.32381,42,34,1,3,2,43,10,1,1,12,15,0,0.115702,14,0,0,2,0.115702,14,2,3,0,0,2,107,148,139,4,1,0,3,1,1,0,21,46,133,19,1,107,148,139,4,1,0,3,1,1,0,21,46,133,19,1,false
0,0,0,0,0,0,0,0,1,4,3,41,9,1,11,10,14,0.5,0.491329,85,11,1,1,0.491329,85,2,3,0,0,2,88,186,139,4,1,0,4,1,1,0,22,45,133,19,1,88,186,139,4,1,0,4,1,1,0,22,45,133,19,1,false
0,0,0,0,0,0,0,0,1,3,3,18,10,11,8,8,12,0.333333,0.21875,21,10,1,2,0.212121,21,2,2,0,0,1,75,109,8,4,1,0,4,1,2,0,22,43,2,20,1,78,112,8,4,1,0,5,1,3,0,23,43,2,21,1,false
0,0,0,0,0,0,0,0,1,1,1,3,8,1,1,7,9,0.666667,0.419355,13,10,2,1,0.419355,13,2,2,0,0,1,18,29,7,4,0,0,2,0,2,0,20,9,1,20,1,18,29,7,4,0,0,2,0,2,0,20,9,1,20,1,false
0,0,0,0,0,0,0,0,1,2,2,8,10,3,1,9,12,0.666667,0.25,15,12,2,1,0.25,15,2,2,0,0,1,45,67,13,4,6,0,3,0,2,0,21,22,1,20,1,45,67,13,4,6,0,3,0,2,0,21,22,1,20,1,false
0.194444,1,8,1,0.282609,0.283784,26,21,1,4,4,16,14,1,1,17,19,0.5,0.180851,17,11,1,1,0.180851,17,2,3,0,0,2,77,92,139,4,1,0,2,0,1,0,20,46,132,19,1,77,92,139,4,1,0,2,0,1,0,20,46,132,19,1,false
0.261682,1,8,1,0.259615,0.323077,27,21,1,4,4,17,10,1,1,8,10,0.5,0.27957,26,3,1,1,0.27957,26,2,3,0,0,2,67,104,146,4,8,0,2,3,1,0,20,38,135,19,1,67,104,146,4,8,0,2,3,1,0,20,38,135,19,1,false
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,2,0,0,2,2,0,0,1,7,9,8,4,1,0,1,1,1,0,19,1,2,19,1,7,9,8,4,1,0,1,1,1,0,19,1,2,19,1,false
0,0,0,0,0,0,0,0,1,1,1,5,5,3,4,5,8,0.666667,0.285714,10,8,2,1,0.285714,10,2,2,0,0,1,25,34,10,5,3,1,3,3,2,0,21,8,4,20,1,25,34,10,5,3,1,3,3,2,0,21,8,4,20,1,false
0,0,0,0,0,0,0,0,1,1,1,11,5,5,5,5,10,0.25,0.125,8,8,1,3,0.125,8,2,2,0,0,1,56,79,11,6,4,2,5,0,3,0,23,35,1,21,1,56,79,11,6,4,2,5,0,3,0,23,35,1,21,1,false
0,0,0,0,0,0,0,0,1,2,2,9,6,4,4,6,9,0,0,0,0,0,3,0,0,2,2,0,0,1,37,42,7,4,0,0,3,0,2,0,21,17,1,20,1,37,42,7,4,0,0,3,0,2,0,21,17,1,20,1,false
0,0,0,0,0,0,0,0,1,3,3,7,8,1,1,10,12,0,0,0,0,0,2,0,0,2,2,0,0,1,41,44,10,4,3,0,2,3,1,0,20,16,4,19,1,41,44,10,4,3,0,2,3,1,0,20,16,4,19,1,false
0,0,0,0,0,0,0,0,1,5,5,21,6,1,1,3,8,0,0.047619,4,0,0,3,0.047619,4,2,2,0,0,1,80,103,8,5,1,1,5,1,2,0,23,42,2,20,1,80,103,8,5,1,1,5,1,2,0,23,42,2,20,1,false
0,0,0,0,0,0,0,0,1,3,3,19,13,4,2,14,22,0.333333,0.253968,32,16,1,2,0.253968,32,2,2,0,0,1,94,144,15,6,8,2,8,2,2,0,26,46,3,20,1,94,144,15,6,8,2,8,2,2,0,26,46,3,20,1,false
0.361111,1,5,1,0.359375,0.375,23,15,1,3,3,13,12,2,2,11,15,0.5,0.25,14,4,1,1,0.25,14,2,2,0,0,1,42,64,7,6,0,2,4,0,1,0,22,21,1,19,1,42,64,7,6,0,2,4,0,1,0,22,21,1,19,1,false
0,0,0,0,0,0,0,0,1,0,0,2,7,1,1,5,7,0,0.0625,1,0,0,3,0.0625,1,2,2,0,0,1,15,18,7,4,0,0,2,0,2,0,20,6,1,20,1,15,18,7,4,0,0,2,0,2,0,20,6,1,20,1,false
0,0,0,0,0,0,0,0,1,3,3,13,8,4,3,10,14,0.666667,0.283784,21,14,2,1,0.283784,21,2,2,0,0,1,53,81,7,4,0,0,4,0,2,0,22,27,1,20,1,53,81,7,4,0,0,4,0,2,0,22,27,1,20,1,false
0.102848,1,5,1,0.087121,0.086207,23,15,1,4,4,41,17,2,2,29,35,0.5,0.238494,57,27,1,1,0.238494,57,2,2,0,0,1,182,264,14,5,7,1,6,6,1,0,24,80,7,19,1,182,264,14,5,7,1,6,6,1,0,24,80,7,19,1,false
0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,1,3,0,0,0,0,0,2,0,0,2,2,0,0,1,6,7,8,5,1,1,2,1,1,0,20,2,2,19,1,6,7,8,5,1,1,2,1,1,0,20,2,2,19,1,false
0,0,0,0,0,0,0,0,1,1,1,3,7,1,3,5,7,0,0,0,0,0,2,0,0,2,3,0,0,2,15,18,139,4,1,0,2,1,1,0,20,6,133,19,1,15,18,139,4,1,0,2,1,1,0,20,6,133,19,1,false
0,0,0,0,0,0,0,0,1,1,1,6,5,4,4,4,8,0,0,0,0,0,3,0,0,2,2,0,0,1,25,29,8,6,1,2,4,1,2,0,22,8,2,20,1,25,29,8,6,1,2,4,1,2,0,22,8,2,20,1,false
0,0,0,0,0,0,0,0,1,1,1,3,5,1,1,4,6,0,0,0,0,0,2,0,0,2,2,0,0,1,15,16,7,4,0,0,2,0,1,0,20,8,1,19,1,15,16,7,4,0,0,2,0,1,0,20,8,1,19,1,false
0,0,0,0,0,0,0,0,1,1,1,3,4,2,2,3,5,0,0.076923,1,0,0,3,0.076923,1,2,2,0,0,1,12,14,8,4,1,0,2,0,2,0,20,5,1,20,1,12,14,8,4,1,0,2,0,2,0,20,5,1,20,1,false
0,0,0,0,0,0,0,0,1,4,4,18,9,1,1,10,13,0,0.184783,17,4,0,3,0.184783,17,2,3,0,0,2,75,100,138,4,0,0,3,0,2,0,21,36,132,20,1,75,100,138,4,0,0,3,0,2,0,21,36,132,20,1,false
0,0,0,0,0,0,0,0,1,1,1,3,5,1,1,4,6,0.5,0.25,5,5,1,1,0.25,5,2,2,0,0,1,15,19,7,4,0,0,2,0,1,0,20,7,1,19,1,15,19,7,4,0,0,2,0,1,0,20,7,1,19,1,false
